EMAIL_ID,DEALER_ID,CUSTOMER_ID,CALL_ID,TO_EMAIL,FROM_EMAIL,SUBJECT,STATUS,OPENED_AT,SENT_AT,CREATED_AT
EML00015,DLR003,CUS01425,,kevin.lee1424@gmail.com,service@lakelandford.com,Your 2022 Honda is Due for Service - Schedule Today,opened,,2024-01-18 17:00:00,2024-01-18 17:00:00
EML00016,DLR003,CUS00981,CALL006978,eric.davis980@gmail.com,service@lakelandford.com,Service Reminder: 2019 BMW Brake Pad Replacement,opened,2024-01-29 12:00:00,2024-01-28 12:00:00,2024-01-28 12:00:00
EML00017,DLR001,CUS01853,CALL002875,daniel.anderson1852@gmail.com,service@sunshinetoyota.com,Recall Notice: Important Safety Information for Your 2021 Toyota,opened,,2024-01-19 20:00:00,2024-01-19 20:00:00
EML00018,DLR003,CUS00601,,james.davis600@gmail.com,service@lakelandford.com,Thank You for Visiting Lakeland Ford,opened,,2024-01-28 12:00:00,2024-01-28 12:00:00
EML00019,DLR001,CUS01026,,jennifer.white1025@gmail.com,service@sunshinetoyota.com,CSI Survey - Tell Us About Your Recent Visit to Sunshine Toyota,unsubscribed,,2024-01-19 09:00:00,2024-01-19 09:00:00
EML00020,DLR001,CUS01663,,luis.anderson1662@gmail.com,service@sunshinetoyota.com,Lease Maturity Notice - Your Options Await,delivered,2024-01-08 11:00:00,2024-01-08 09:00:00,2024-01-08 09:00:00
EML00021,DLR005,CUS00983,,daniel.anderson982@gmail.com,service@coastalbmw.com,CSI Survey - Tell Us About Your Recent Visit to Coastal BMW,opened,2024-01-01 14:00:00,2024-01-01 09:00:00,2024-01-01 09:00:00
EML00022,DLR005,CUS00452,CALL000882,maria.lopez451@gmail.com,service@coastalbmw.com,CSI Survey - Tell Us About Your Recent Visit to Coastal BMW,delivered,,2024-01-20 14:00:00,2024-01-20 14:00:00
EML00023,DLR003,CUS01983,CALL010432,david.anderson1982@gmail.com,service@lakelandford.com,Service Reminder: 2020 Honda Tire Purchase,delivered,,2024-01-01 20:00:00,2024-01-01 20:00:00
EML00024,DLR002,CUS01436,,amber.white1435@gmail.com,service@bayareahonda.com,Recall Notice: Important Safety Information for Your 2019 Chevrolet,delivered,2024-01-25 04:00:00,2024-01-24 15:00:00,2024-01-24 15:00:00
EML00025,DLR001,CUS00526,,amanda.white525@gmail.com,service@sunshinetoyota.com,CSI Survey - Tell Us About Your Recent Visit to Sunshine Toyota,opened,,2024-01-26 17:00:00,2024-01-26 17:00:00
EML00026,DLR001,CUS01297,CALL002577,michael.clark1296@gmail.com,service@sunshinetoyota.com,Your 2020 BMW is Due for Service - Schedule Today,delivered,,2024-01-06 15:00:00,2024-01-06 15:00:00
EML00027,DLR002,CUS01036,CALL014390,amanda.white1035@gmail.com,service@bayareahonda.com,Service Reminder: 2019 Ford Battery Replacement,opened,2024-01-16 07:00:00,2024-01-14 18:00:00,2024-01-14 18:00:00
EML00028,DLR004,CUS01474,,ashley.moore1473@gmail.com,service@gulfcoastchevrolet.com,Exclusive Offer: Save on Your Next Service at Gulf Coast Chevrolet,opened,2024-01-31 10:00:00,2024-01-30 12:00:00,2024-01-30 12:00:00
EML00029,DLR004,CUS01541,,carlos.davis1540@gmail.com,service@gulfcoastchevrolet.com,Thank You for Visiting Gulf Coast Chevrolet,delivered,,2024-01-23 19:00:00,2024-01-23 19:00:00
EML00030,DLR001,CUS00617,,brian.clark616@gmail.com,service@sunshinetoyota.com,CSI Survey - Tell Us About Your Recent Visit to Sunshine Toyota,delivered,2024-01-08 04:00:00,2024-01-07 12:00:00,2024-01-07 12:00:00
EML00031,DLR001,CUS01116,,jennifer.white1115@gmail.com,service@sunshinetoyota.com,CSI Survey - Tell Us About Your Recent Visit to Sunshine Toyota,opened,,2024-01-21 13:00:00,2024-01-21 13:00:00
EML00032,DLR005,CUS01533,,david.anderson1532@gmail.com,service@coastalbmw.com,Service Reminder: 2022 BMW Wheel Alignment,unsubscribed,,2024-01-03 11:00:00,2024-01-03 11:00:00
EML00033,DLR002,CUS01812,,stephanie.lopez1811@gmail.com,service@bayareahonda.com,Your 2022 Chevrolet is Due for Service - Schedule Today,opened,,2024-01-16 12:00:00,2024-01-16 12:00:00
EML00034,DLR005,CUS01083,CALL003841,david.anderson1082@gmail.com,service@coastalbmw.com,Service Reminder: 2019 Honda Wheel Alignment,delivered,2024-01-03 06:00:00,2024-01-02 15:00:00,2024-01-02 15:00:00
EML00035,DLR005,CUS00388,,danielle.robinson387@gmail.com,service@coastalbmw.com,Lease Maturity Notice - Your Options Await,delivered,,2024-01-08 10:00:00,2024-01-08 10:00:00
EML00036,DLR005,CUS01607,,brian.clark1606@gmail.com,service@coastalbmw.com,Your Service Appointment Confirmation - Coastal BMW,delivered,2024-01-21 21:00:00,2024-01-21 14:00:00,2024-01-21 14:00:00
EML00037,DLR004,CUS01471,,james.davis1470@gmail.com,service@gulfcoastchevrolet.com,Service Reminder: 2020 Toyota Transmission Service,opened,,2024-01-28 19:00:00,2024-01-28 19:00:00
EML00038,DLR001,CUS01652,,maria.lopez1651@gmail.com,service@sunshinetoyota.com,Exclusive Offer: Save on Your Next Service at Sunshine Toyota,unsubscribed,,2024-01-30 17:00:00,2024-01-30 17:00:00
EML00039,DLR004,CUS00771,,eric.davis770@gmail.com,service@gulfcoastchevrolet.com,Service Reminder: 2022 BMW Battery Replacement,delivered,,2024-01-15 12:00:00,2024-01-15 12:00:00
EML00040,DLR001,CUS01153,CALL008134,luis.anderson1152@gmail.com,service@sunshinetoyota.com,Your Service Appointment Confirmation - Sunshine Toyota,delivered,2024-01-13 18:00:00,2024-01-12 15:00:00,2024-01-12 15:00:00
EML00041,DLR003,CUS01697,,brian.clark1696@gmail.com,service@lakelandford.com,Thank You for Visiting Lakeland Ford,delivered,,2024-01-24 16:00:00,2024-01-24 16:00:00
EML00042,DLR004,CUS00301,,james.davis300@gmail.com,service@gulfcoastchevrolet.com,Lease Maturity Notice - Your Options Await,opened,,2024-01-30 09:00:00,2024-01-30 09:00:00
EML00043,DLR001,CUS00996,,jennifer.white995@gmail.com,service@sunshinetoyota.com,Exclusive Offer: Save on Your Next Service at Sunshine Toyota,delivered,2024-01-27 14:00:00,2024-01-26 17:00:00,2024-01-26 17:00:00
EML00044,DLR003,CUS00680,CALL008392,heather.jones679@gmail.com,service@lakelandford.com,Recall Notice: Important Safety Information for Your 2021 Toyota,delivered,2024-01-28 13:00:00,2024-01-27 11:00:00,2024-01-27 11:00:00
EML00045,DLR005,CUS00968,,jessica.robinson967@gmail.com,service@coastalbmw.com,Recall Notice: Important Safety Information for Your 2020 Ford,delivered,,2024-01-09 15:00:00,2024-01-09 15:00:00
EML00046,DLR004,CUS00256,CALL011652,amanda.white255@gmail.com,service@gulfcoastchevrolet.com,CSI Survey - Tell Us About Your Recent Visit to Gulf Coast Chevrolet,opened,,2024-01-21 09:00:00,2024-01-21 09:00:00
EML00047,DLR002,CUS00580,CALL008034,melissa.jones579@gmail.com,service@bayareahonda.com,Service Reminder: 2019 Chevrolet Transmission Service,delivered,,2024-01-24 10:00:00,2024-01-24 10:00:00
EML00048,DLR004,CUS00769,CALL008790,jason.johnson768@gmail.com,service@gulfcoastchevrolet.com,Lease Maturity Notice - Your Options Await,unsubscribed,2024-01-11 06:00:00,2024-01-09 19:00:00,2024-01-09 19:00:00
EML00049,DLR005,CUS01743,CALL003532,david.anderson1742@gmail.com,service@coastalbmw.com,Lease Maturity Notice - Your Options Await,delivered,2024-01-10 16:00:00,2024-01-09 16:00:00,2024-01-09 16:00:00
EML00050,DLR003,CUS00530,CALL011115,heather.jones529@gmail.com,service@lakelandford.com,Recall Notice: Important Safety Information for Your 2020 Ford,opened,2024-01-15 11:00:00,2024-01-15 09:00:00,2024-01-15 09:00:00
EML00051,DLR001,CUS01757,,brian.clark1756@gmail.com,service@sunshinetoyota.com,Your 2021 Honda is Due for Service - Schedule Today,opened,,2024-01-20 10:00:00,2024-01-20 10:00:00
EML00052,DLR004,CUS01504,,ashley.moore1503@gmail.com,service@gulfcoastchevrolet.com,Exclusive Offer: Save on Your Next Service at Gulf Coast Chevrolet,opened,2024-01-23 15:00:00,2024-01-23 13:00:00,2024-01-23 13:00:00
EML00053,DLR005,CUS00518,,jessica.robinson517@gmail.com,service@coastalbmw.com,Your 2021 Chevrolet is Due for Service - Schedule Today,opened,,2024-01-01 15:00:00,2024-01-01 15:00:00
EML00054,DLR002,CUS01226,,amber.white1225@gmail.com,service@bayareahonda.com,Your 2021 Ford is Due for Service - Schedule Today,delivered,2024-01-05 22:00:00,2024-01-04 12:00:00,2024-01-04 12:00:00
EML00055,DLR005,CUS00020,,heather.jones19@gmail.com,service@coastalbmw.com,Thank You for Visiting Coastal BMW,delivered,,2024-01-11 12:00:00,2024-01-11 12:00:00
EML00056,DLR002,CUS00188,CALL011349,jessica.robinson187@gmail.com,service@bayareahonda.com,Your 2020 Toyota is Due for Service - Schedule Today,opened,,2024-01-26 08:00:00,2024-01-26 08:00:00
EML00057,DLR003,CUS00021,,eric.davis20@gmail.com,service@lakelandford.com,Lease Maturity Notice - Your Options Await,delivered,,2024-01-23 11:00:00,2024-01-23 11:00:00
EML00058,DLR002,CUS00315,,kevin.lee314@gmail.com,service@bayareahonda.com,CSI Survey - Tell Us About Your Recent Visit to Bay Area Honda,opened,,2024-01-26 19:00:00,2024-01-26 19:00:00
EML00059,DLR004,CUS00161,CALL002515,carlos.davis160@gmail.com,service@gulfcoastchevrolet.com,Thank You for Visiting Gulf Coast Chevrolet,delivered,,2024-01-26 19:00:00,2024-01-26 19:00:00
EML00060,DLR004,CUS00877,CALL000151,michael.clark876@gmail.com,service@gulfcoastchevrolet.com,Lease Maturity Notice - Your Options Await,delivered,,2024-01-29 16:00:00,2024-01-29 16:00:00
EML00061,DLR003,CUS00566,,amber.white565@gmail.com,service@lakelandford.com,Exclusive Offer: Save on Your Next Service at Lakeland Ford,delivered,,2024-01-20 08:00:00,2024-01-20 08:00:00
EML00062,DLR002,CUS01842,,stephanie.lopez1841@gmail.com,service@bayareahonda.com,Service Reminder: 2022 Ford Wheel Alignment,delivered,,2024-01-26 20:00:00,2024-01-26 20:00:00
EML00063,DLR005,CUS00554,CALL006994,nicole.moore553@gmail.com,service@coastalbmw.com,Service Reminder: 2019 Ford Multi-Point Inspection,bounced,,2024-01-17 15:00:00,2024-01-17 15:00:00
EML00064,DLR003,CUS01337,CALL001975,brian.clark1336@gmail.com,service@lakelandford.com,Your Service Appointment Confirmation - Lakeland Ford,delivered,2024-01-29 07:00:00,2024-01-27 14:00:00,2024-01-27 14:00:00
EML00065,DLR004,CUS01562,CALL009410,maria.lopez1561@gmail.com,service@gulfcoastchevrolet.com,Lease Maturity Notice - Your Options Await,delivered,2024-01-28 23:00:00,2024-01-27 10:00:00,2024-01-27 10:00:00
EML00066,DLR003,CUS01648,,danielle.robinson1647@gmail.com,service@lakelandford.com,Service Reminder: 2021 BMW Brake Pad Replacement,delivered,,2024-01-01 08:00:00,2024-01-01 08:00:00
EML00067,DLR001,CUS00818,,jessica.robinson817@gmail.com,service@sunshinetoyota.com,Your Service Appointment Confirmation - Sunshine Toyota,delivered,,2024-01-22 16:00:00,2024-01-22 16:00:00
EML00068,DLR005,CUS00317,,brian.clark316@gmail.com,service@coastalbmw.com,Service Reminder: 2020 Chevrolet Coolant Flush,delivered,,2024-01-11 19:00:00,2024-01-11 19:00:00
EML00069,DLR005,CUS00420,,crystal.jones419@gmail.com,service@coastalbmw.com,CSI Survey - Tell Us About Your Recent Visit to Coastal BMW,delivered,,2024-01-09 13:00:00,2024-01-09 13:00:00
EML00070,DLR003,CUS01186,,amanda.white1185@gmail.com,service@lakelandford.com,Your Service Appointment Confirmation - Lakeland Ford,opened,2024-01-10 13:00:00,2024-01-10 09:00:00,2024-01-10 09:00:00
EML00071,DLR004,CUS00976,,amanda.white975@gmail.com,service@gulfcoastchevrolet.com,Lease Maturity Notice - Your Options Await,delivered,,2024-01-16 08:00:00,2024-01-16 08:00:00
EML00072,DLR004,CUS01798,CALL008240,danielle.robinson1797@gmail.com,service@gulfcoastchevrolet.com,Lease Maturity Notice - Your Options Await,opened,,2024-01-18 09:00:00,2024-01-18 09:00:00
EML00073,DLR001,CUS01574,CALL006301,nicole.moore1573@gmail.com,service@sunshinetoyota.com,Your Service Appointment Confirmation - Sunshine Toyota,unsubscribed,,2024-01-20 14:00:00,2024-01-20 14:00:00
EML00074,DLR003,CUS01391,CALL001105,carlos.davis1390@gmail.com,service@lakelandford.com,Your Service Appointment Confirmation - Lakeland Ford,opened,2024-01-30 20:00:00,2024-01-30 10:00:00,2024-01-30 10:00:00
EML00075,DLR005,CUS01200,,crystal.jones1199@gmail.com,service@coastalbmw.com,Exclusive Offer: Save on Your Next Service at Coastal BMW,delivered,,2024-01-07 10:00:00,2024-01-07 10:00:00
EML00076,DLR004,CUS01986,,jennifer.white1985@gmail.com,service@gulfcoastchevrolet.com,Your 2021 Chevrolet is Due for Service - Schedule Today,delivered,,2024-01-06 13:00:00,2024-01-06 13:00:00
EML00077,DLR002,CUS01252,,lauren.lopez1251@gmail.com,service@bayareahonda.com,Your Service Appointment Confirmation - Bay Area Honda,delivered,,2024-01-21 10:00:00,2024-01-21 10:00:00
EML00078,DLR003,CUS00672,,stephanie.lopez671@gmail.com,service@lakelandford.com,Exclusive Offer: Save on Your Next Service at Lakeland Ford,opened,2024-01-16 01:00:00,2024-01-14 14:00:00,2024-01-14 14:00:00
EML00079,DLR001,CUS01704,CALL006456,brittany.moore1703@gmail.com,service@sunshinetoyota.com,Exclusive Offer: Save on Your Next Service at Sunshine Toyota,delivered,2024-01-17 06:00:00,2024-01-16 17:00:00,2024-01-16 17:00:00
EML00080,DLR003,CUS01785,CALL005924,kevin.lee1784@gmail.com,service@lakelandford.com,Exclusive Offer: Save on Your Next Service at Lakeland Ford,delivered,,2024-01-12 15:00:00,2024-01-12 15:00:00
EML00081,DLR002,CUS01862,,maria.lopez1861@gmail.com,service@bayareahonda.com,Service Reminder: 2020 Toyota Coolant Flush,delivered,,2024-01-23 20:00:00,2024-01-23 20:00:00
EML00082,DLR002,CUS00470,,heather.jones469@gmail.com,service@bayareahonda.com,Exclusive Offer: Save on Your Next Service at Bay Area Honda,delivered,,2024-01-10 14:00:00,2024-01-10 14:00:00
EML00083,DLR002,CUS01283,CALL007581,daniel.anderson1282@gmail.com,service@bayareahonda.com,Your 2021 Honda is Due for Service - Schedule Today,delivered,,2024-01-06 20:00:00,2024-01-06 20:00:00
EML00084,DLR004,CUS01899,CALL012740,william.johnson1898@gmail.com,service@gulfcoastchevrolet.com,Exclusive Offer: Save on Your Next Service at Gulf Coast Chevrolet,delivered,2024-01-10 13:00:00,2024-01-08 18:00:00,2024-01-08 18:00:00
EML00085,DLR002,CUS01069,,jason.johnson1068@gmail.com,service@bayareahonda.com,Thank You for Visiting Bay Area Honda,delivered,,2024-01-04 17:00:00,2024-01-04 17:00:00
EML00086,DLR002,CUS01412,CALL006641,maria.lopez1411@gmail.com,service@bayareahonda.com,CSI Survey - Tell Us About Your Recent Visit to Bay Area Honda,opened,2024-01-16 02:00:00,2024-01-14 11:00:00,2024-01-14 11:00:00
EML00087,DLR004,CUS01943,,daniel.anderson1942@gmail.com,service@gulfcoastchevrolet.com,CSI Survey - Tell Us About Your Recent Visit to Gulf Coast Chevrolet,delivered,,2024-01-24 13:00:00,2024-01-24 13:00:00
EML00088,DLR002,CUS00068,,jessica.robinson67@gmail.com,service@bayareahonda.com,Thank You for Visiting Bay Area Honda,bounced,2024-01-25 07:00:00,2024-01-23 10:00:00,2024-01-23 10:00:00
EML00089,DLR005,CUS01157,,brian.clark1156@gmail.com,service@coastalbmw.com,Your 2020 Ford is Due for Service - Schedule Today,unsubscribed,,2024-01-17 09:00:00,2024-01-17 09:00:00
EML00090,DLR004,CUS00773,,daniel.anderson772@gmail.com,service@gulfcoastchevrolet.com,Lease Maturity Notice - Your Options Await,bounced,,2024-01-14 15:00:00,2024-01-14 15:00:00
EML00091,DLR001,CUS00510,CALL001709,crystal.jones509@gmail.com,service@sunshinetoyota.com,Thank You for Visiting Sunshine Toyota,delivered,2024-01-07 00:00:00,2024-01-06 08:00:00,2024-01-06 08:00:00
EML00092,DLR001,CUS01702,,lauren.lopez1701@gmail.com,service@sunshinetoyota.com,Your Service Appointment Confirmation - Sunshine Toyota,delivered,,2024-01-16 09:00:00,2024-01-16 09:00:00
EML00093,DLR005,CUS00296,,amber.white295@gmail.com,service@coastalbmw.com,Lease Maturity Notice - Your Options Await,delivered,,2024-01-11 09:00:00,2024-01-11 09:00:00
EML00094,DLR003,CUS01419,CALL003229,william.johnson1418@gmail.com,service@lakelandford.com,Lease Maturity Notice - Your Options Await,opened,,2024-01-12 14:00:00,2024-01-12 14:00:00
EML00095,DLR003,CUS00154,,ashley.moore153@gmail.com,service@lakelandford.com,Your Service Appointment Confirmation - Lakeland Ford,opened,,2024-01-30 18:00:00,2024-01-30 18:00:00
EML00096,DLR004,CUS00293,CALL009698,daniel.anderson292@gmail.com,service@gulfcoastchevrolet.com,Recall Notice: Important Safety Information for Your 2021 Honda,opened,2024-01-30 22:00:00,2024-01-30 08:00:00,2024-01-30 08:00:00
EML00097,DLR002,CUS01065,,kevin.lee1064@gmail.com,service@bayareahonda.com,CSI Survey - Tell Us About Your Recent Visit to Bay Area Honda,delivered,,2024-01-21 17:00:00,2024-01-21 17:00:00
EML00098,DLR005,CUS01944,,brittany.moore1943@gmail.com,service@coastalbmw.com,Exclusive Offer: Save on Your Next Service at Coastal BMW,opened,,2024-01-14 08:00:00,2024-01-14 08:00:00
EML00099,DLR003,CUS00637,,michael.clark636@gmail.com,service@lakelandford.com,Your Service Appointment Confirmation - Lakeland Ford,delivered,,2024-01-18 19:00:00,2024-01-18 19:00:00
EML00100,DLR005,CUS01159,CALL010785,jason.johnson1158@gmail.com,service@coastalbmw.com,Exclusive Offer: Save on Your Next Service at Coastal BMW,opened,,2024-01-14 15:00:00,2024-01-14 15:00:00
EML00101,DLR001,CUS00291,CALL002943,eric.davis290@gmail.com,service@sunshinetoyota.com,CSI Survey - Tell Us About Your Recent Visit to Sunshine Toyota,delivered,,2024-01-19 14:00:00,2024-01-19 14:00:00
EML00102,DLR004,CUS01514,,nicole.moore1513@gmail.com,service@gulfcoastchevrolet.com,CSI Survey - Tell Us About Your Recent Visit to Gulf Coast Chevrolet,delivered,2024-01-11 04:00:00,2024-01-10 10:00:00,2024-01-10 10:00:00
EML00103,DLR002,CUS00248,,jessica.robinson247@gmail.com,service@bayareahonda.com,Lease Maturity Notice - Your Options Await,delivered,2024-01-30 20:00:00,2024-01-29 11:00:00,2024-01-29 11:00:00
EML00104,DLR001,CUS01110,CALL011548,crystal.jones1109@gmail.com,service@sunshinetoyota.com,Your Service Appointment Confirmation - Sunshine Toyota,opened,2024-01-04 18:00:00,2024-01-02 19:00:00,2024-01-02 19:00:00
EML00105,DLR002,CUS01226,,amber.white1225@gmail.com,service@bayareahonda.com,Exclusive Offer: Save on Your Next Service at Bay Area Honda,delivered,2024-01-13 14:00:00,2024-01-13 08:00:00,2024-01-13 08:00:00
EML00106,DLR004,CUS00030,CALL013979,crystal.jones29@gmail.com,service@gulfcoastchevrolet.com,Exclusive Offer: Save on Your Next Service at Gulf Coast Chevrolet,delivered,,2024-01-12 10:00:00,2024-01-12 10:00:00
EML00107,DLR002,CUS01681,CALL008510,james.davis1680@gmail.com,service@bayareahonda.com,CSI Survey - Tell Us About Your Recent Visit to Bay Area Honda,delivered,,2024-01-14 18:00:00,2024-01-14 18:00:00
EML00108,DLR005,CUS00138,CALL003538,rachel.robinson137@gmail.com,service@coastalbmw.com,Your Service Appointment Confirmation - Coastal BMW,opened,,2024-01-12 11:00:00,2024-01-12 11:00:00
EML00109,DLR005,CUS01693,,luis.anderson1692@gmail.com,service@coastalbmw.com,Service Reminder: 2022 Ford Transmission Service,delivered,2024-01-12 07:00:00,2024-01-11 09:00:00,2024-01-11 09:00:00
EML00110,DLR005,CUS01360,,melissa.jones1359@gmail.com,service@coastalbmw.com,Thank You for Visiting Coastal BMW,opened,,2024-01-25 19:00:00,2024-01-25 19:00:00
EML00111,DLR003,CUS00860,,heather.jones859@gmail.com,service@lakelandford.com,Recall Notice: Important Safety Information for Your 2021 BMW,opened,2024-01-06 07:00:00,2024-01-04 09:00:00,2024-01-04 09:00:00
EML00112,DLR001,CUS01707,CALL006286,mark.clark1706@gmail.com,service@sunshinetoyota.com,CSI Survey - Tell Us About Your Recent Visit to Sunshine Toyota,delivered,,2024-01-16 09:00:00,2024-01-16 09:00:00
EML00113,DLR004,CUS01849,CALL003374,jason.johnson1848@gmail.com,service@gulfcoastchevrolet.com,Exclusive Offer: Save on Your Next Service at Gulf Coast Chevrolet,opened,2024-01-03 20:00:00,2024-01-02 16:00:00,2024-01-02 16:00:00
EML00114,DLR002,CUS00657,CALL006003,mark.clark656@gmail.com,service@bayareahonda.com,Recall Notice: Important Safety Information for Your 2019 BMW,delivered,,2024-01-11 15:00:00,2024-01-11 15:00:00
EML00115,DLR005,CUS01469,CALL009621,steven.johnson1468@gmail.com,service@coastalbmw.com,Lease Maturity Notice - Your Options Await,delivered,,2024-01-23 12:00:00,2024-01-23 12:00:00
EML00116,DLR001,CUS00106,CALL006898,amanda.white105@gmail.com,service@sunshinetoyota.com,Your Service Appointment Confirmation - Sunshine Toyota,delivered,2024-01-05 10:00:00,2024-01-04 20:00:00,2024-01-04 20:00:00
EML00117,DLR004,CUS01062,CALL006532,stephanie.lopez1061@gmail.com,service@gulfcoastchevrolet.com,Recall Notice: Important Safety Information for Your 2021 Chevrolet,delivered,,2024-01-03 12:00:00,2024-01-03 12:00:00
EML00118,DLR004,CUS00068,,jessica.robinson67@gmail.com,service@gulfcoastchevrolet.com,Exclusive Offer: Save on Your Next Service at Gulf Coast Chevrolet,opened,2024-01-07 07:00:00,2024-01-05 12:00:00,2024-01-05 12:00:00
EML00119,DLR001,CUS01036,,amanda.white1035@gmail.com,service@sunshinetoyota.com,Service Reminder: 2022 Honda Air Filter Replacement,delivered,,2024-01-06 15:00:00,2024-01-06 15:00:00
EML00120,DLR003,CUS01110,CALL008295,crystal.jones1109@gmail.com,service@lakelandford.com,Thank You for Visiting Lakeland Ford,delivered,,2024-01-05 11:00:00,2024-01-05 11:00:00
EML00121,DLR002,CUS01904,CALL001117,nicole.moore1903@gmail.com,service@bayareahonda.com,Your 2021 Ford is Due for Service - Schedule Today,opened,2024-01-28 10:00:00,2024-01-26 17:00:00,2024-01-26 17:00:00
EML00122,DLR004,CUS00142,CALL012198,lauren.lopez141@gmail.com,service@gulfcoastchevrolet.com,Service Reminder: 2021 Toyota Multi-Point Inspection,delivered,,2024-01-28 11:00:00,2024-01-28 11:00:00
EML00123,DLR001,CUS00078,CALL005757,rachel.robinson77@gmail.com,service@sunshinetoyota.com,Service Reminder: 2022 BMW Battery Replacement,opened,2024-01-28 16:00:00,2024-01-27 17:00:00,2024-01-27 17:00:00
EML00124,DLR001,CUS01543,,luis.anderson1542@gmail.com,service@sunshinetoyota.com,Thank You for Visiting Sunshine Toyota,opened,2024-01-29 15:00:00,2024-01-29 11:00:00,2024-01-29 11:00:00
EML00125,DLR003,CUS00583,CALL009169,luis.anderson582@gmail.com,service@lakelandford.com,Thank You for Visiting Lakeland Ford,unsubscribed,,2024-01-26 17:00:00,2024-01-26 17:00:00
EML00126,DLR002,CUS01197,,mark.clark1196@gmail.com,service@bayareahonda.com,Your Service Appointment Confirmation - Bay Area Honda,unsubscribed,2024-01-06 07:00:00,2024-01-04 08:00:00,2024-01-04 08:00:00
EML00127,DLR004,CUS01161,,eric.davis1160@gmail.com,service@gulfcoastchevrolet.com,Thank You for Visiting Gulf Coast Chevrolet,opened,,2024-01-16 20:00:00,2024-01-16 20:00:00
EML00128,DLR001,CUS00134,CALL004712,nicole.moore133@gmail.com,service@sunshinetoyota.com,Exclusive Offer: Save on Your Next Service at Sunshine Toyota,opened,,2024-01-10 19:00:00,2024-01-10 19:00:00
EML00129,DLR002,CUS00386,CALL014741,amber.white385@gmail.com,service@bayareahonda.com,Thank You for Visiting Bay Area Honda,delivered,,2024-01-01 10:00:00,2024-01-01 10:00:00
EML00130,DLR002,CUS01881,,eric.davis1880@gmail.com,service@bayareahonda.com,Lease Maturity Notice - Your Options Await,delivered,,2024-01-23 19:00:00,2024-01-23 19:00:00
EML00131,DLR001,CUS00783,,david.anderson782@gmail.com,service@sunshinetoyota.com,Thank You for Visiting Sunshine Toyota,delivered,2024-01-07 06:00:00,2024-01-06 18:00:00,2024-01-06 18:00:00
